Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@HakunaMa_DATA,RT @aselipsky: #IronViz talent was through the roof. Fantastic showing from all of our contestants! Congrats to @TristanGuillevi!â€_ https://t.co/kec5xzTir9,http://twitter.com/HakunaMa_DATA/status/918444513961693184,"October 12, 2017 at 07:53AM"
@CarolynCrowe2,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/CarolynCrowe2/status/918444517812039681,"October 12, 2017 at 07:53AM"
@paulbanoub,It's 5am and we are totally ready for #rundata17. #data17 https://t.co/WPSJdHxXMf,http://twitter.com/paulbanoub/status/918444904480759808,"October 12, 2017 at 07:55AM"
@CapTechListens,"RT @nerdboutique: #captechlistens, I see data! Andy cotgrave big book of dashboards session. #data17 https://t.co/3FGtpttrR7",http://twitter.com/CapTechListens/status/918444909052485633,"October 12, 2017 at 07:55AM"
@CapTechListens,"RT @nerdboutique: #captechlistens Captech and 15,000 data enthusiasts! #data17 https://t.co/3qI2yoUNCx",http://twitter.com/CapTechListens/status/918444928862212096,"October 12, 2017 at 07:55AM"
@CapTechListens,RT @nerdboutique: #captechlistens we are here at #data17! Tableau conference. https://t.co/DyN0Po6oUz,http://twitter.com/CapTechListens/status/918444967995027456,"October 12, 2017 at 07:55AM"
@graphemeconsult,Thanks for the shout out #data17 https://t.co/wTHQDrDSK6 https://t.co/0p1Hy4Lcei,http://twitter.com/graphemeconsult/status/918445050077442049,"October 12, 2017 at 07:55AM"
@CapTechListens,RT @nerdboutique: #data17. Tableau conference continues.  Kinda like a festival. Festdataval. Full of data! #captechlife https://t.co/V1sKE4OmFu,http://twitter.com/CapTechListens/status/918445091802542080,"October 12, 2017 at 07:55AM"
@CapTechListens,RT @nerdboutique: #data17 #captechnation  #captechlife sends 3 to Tableau conference https://t.co/7053YG0tc5,http://twitter.com/CapTechListens/status/918445142847172608,"October 12, 2017 at 07:56AM"
@Matias_amezcua,"RT @infacloud: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/Lxv86FQFSN    #Data17 https://t.co/7C45uGgCQ2",http://twitter.com/Matias_amezcua/status/918446314152775680,"October 12, 2017 at 08:00AM"
@andrewjmumford,"NEWS: @Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/IE9o98Xwx3   #Data17 https://t.co/dl1RXCq7FD",http://twitter.com/andrewjmumford/status/918446321593405440,"October 12, 2017 at 08:00AM"
@rchildress1883,"A Leader for #Metadata Management â†’ https://t.co/Bem3cNepdn #Data17 https://t.co/QdwZnNLybG",http://twitter.com/rchildress1883/status/918446530406895617,"October 12, 2017 at 08:01AM"
@StarschemaLtd,The Knights of the Round Table! Practical lessons from @tfoldi at #TC17 Server Admin User Group Meet-up.  #data17 https://t.co/bD0miOc5CB,http://twitter.com/StarschemaLtd/status/918446864353124352,"October 12, 2017 at 08:02AM"
@YvesMulkers,RT @vsimoes90: #data17 #WeAreDataPeople #data+women @ Mandalay Bay Convention Center https://t.co/ZJsGr7qJ0a,http://twitter.com/YvesMulkers/status/918446992732323840,"October 12, 2017 at 08:03AM"
@amarajames003,https://t.co/ZFtn4jLEp3 Get all Emails From #filey maintain #data17 #EMAIL #Database #technology #technews,http://twitter.com/amarajames003/status/918447170600103937,"October 12, 2017 at 08:04AM"
